area_sqr_ft,price_lakhs,bedrooms
656.0,39.0,2
1260.0,83.2,2
1057.0,86.6,3
1259.0,59.0,2
1800.0,140.0,3
1325.0,80.1,2
1085.0,116.0,3
1110.0,45.0,2
1700.0,100.0,3
960.0,89.0,2
1800.0,90.0,3
700.0,49.0,2
1417.0,65.0,2
1173.0,74.0,2
1475.0,80.0,2
1800.0,83.0,2
1136.0,98.0,3
1136.0,86.0,3
1800.0,81.0,2
1521.0,114.0,3
1045.0,69.0,2
1435.0,107.0,3
1048.0,64.0,2
1047.0,68.0,2
1319.0,70.0,2
656.0,76.0,3
656.0,53.0,2
1010.0,65.0,2
836.0,64.0,2
1347.0,64.0,2
876.0,90.0,3
682.0,54.0,2
1790.0,109.0,3
1139.0,69.0,2
1252.0,73.0,2
678.0,52.0,2
1016.0,104.0,3
1269.0,68.0,2
783.0,54.0,2
1371.0,101.0,3
995.0,89.0,3
1114.0,63.0,2
994.0,55.0,2
1800.0,114.0,3
1221.0,69.0,2
819.0,46.0,2
1543.0,107.0,3
756.0,87.0,3
1306.0,104.0,3
656.0,59.0,2
715.0,59.0,2
1302.0,67.0,2
1510.0,103.0,3
1292.0,104.0,3
1181.0,65.0,2
1110.0,59.0,2
657.0,65.0,2
949.0,60.0,2
1049.0,61.0,2
1633.0,68.0,2
1358.0,107.0,3
656.0,48.0,2
1351.0,72.0,2
1078.0,69.0,2
965.0,88.0,3
1461.0,75.0,2
1623.0,118.0,3
1584.0,97.0,3
903.0,56.0,2
1107.0,61.0,2
1354.0,71.0,2
1602.0,78.0,2
1042.0,58.0,2
1155.0,63.0,2
800.0,53.0,2
766.0,54.0,2
1539.0,109.0,3
1748.0,87.0,2
1198.0,104.0,3
1612.0,82.0,2
1365.0,99.0,3
978.0,93.0,3
1365.0,84.0,2
1800.0,120.0,3
1212.0,66.0,2
1800.0,92.0,2
656.0,51.0,2
1542.0,105.0,3
1260.0,107.0,3
1111.0,59.0,2
1261.0,60.0,2
656.0,58.0,2
1141.0,97.0,3
1363.0,73.0,2
1795.0,82.0,2
1027.0,62.0,2
915.0,58.0,2
1033.0,60.0,2
1578.0,76.0,2
1353.0,101.0,3
1022.0,59.0,2
1424.0,71.0,2
1263.0,88.0,3
1599.0,82.0,2
956.0,94.0,3
1100.0,65.0,2
1075.0,97.0,3
663.0,55.0,2
1340.0,68.0,2
1326.0,100.0,3
1228.0,102.0,3
1136.0,67.0,2
681.0,64.0,2
1064.0,103.0,3
1094.0,70.0,2
917.0,56.0,2
1164.0,64.0,2
1382.0,68.0,2
1800.0,85.0,2
1293.0,57.0,2
1325.0,100.0,3
1197.0,66.0,2
656.0,77.0,3
1216.0,103.0,3
1249.0,94.0,3
1800.0,116.0,3
1152.0,80.0,2
1342.0,95.0,3
1213.0,98.0,3
776.0,54.0,2
1666.0,77.0,2
1515.0,111.0,3
1530.0,82.0,2
876.0,94.0,3
1766.0,110.0,3
686.0,66.0,2
1452.0,97.0,3
1800.0,79.0,2
845.0,59.0,2
1008.0,94.0,3
1264.0,72.0,2
1032.0,102.0,3
656.0,53.0,2
1252.0,101.0,3
817.0,86.0,3
1408.0,76.0,2
872.0,57.0,2
1800.0,113.0,3
925.0,94.0,3
1102.0,70.0,2
1539.0,66.0,2
752.0,58.0,2
1314.0,101.0,3
1729.0,118.0,3
656.0,52.0,2
1297.0,77.0,2
1326.0,68.0,2
1527.0,96.0,3
750.0,92.0,3
718.0,51.0,2
1427.0,66.0,2
1340.0,72.0,2
1322.0,101.0,3
1359.0,76.0,2
964.0,66.0,2
1315.0,102.0,3
1339.0,98.0,3
951.0,94.0,3
1800.0,85.0,2
1408.0,107.0,3
767.0,83.0,3
1479.0,73.0,2
851.0,61.0,2
1529.0,83.0,2
1672.0,116.0,3
910.0,91.0,3
1597.0,76.0,2
1385.0,75.0,2
1542.0,103.0,3
1800.0,111.0,3
1132.0,105.0,3
936.0,63.0,2
884.0,89.0,3
912.0,64.0,2
1196.0,74.0,2
1357.0,70.0,2
1333.0,69.0,2
1544.0,105.0,3
1231.0,73.0,2
1786.0,88.0,2
1124.0,73.0,2
1800.0,120.0,3
1467.0,67.0,2
896.0,92.0,3
814.0,83.0,3
1412.0,71.0,2
1140.0,67.0,2
1501.0,80.0,2
1408.0,69.0,2
1198.0,56.0,2
